68
1.5 , -1, 1, 0, 1.5, 1
2 , -1, 1, 0, 2, 0
2 , -1, 4, 0, 2, 0
2.5 , -1, 1, 0, 2.5, 0
3 , -1, 1, 0, 3, 0
3 , -1, 4, 0, 3, 0
3.5 , -1, 1, 0, 3.5, 0
4 , -1, 1, 0, 4, 0
4 , -1, 4, 0, 4, 0
4.5 , -1, 1, 0, 4.5, 0
5 , -1, 1, 0, 5, 0
5 , -1, 4, 0, 5, 0
5.5 , -1, 1, 0, 5.5, 1
6 , -1, 1, 0, 6, 0
6 , -1, 4, 0, 6, 0
6.5 , -1, 1, 0, 6.5, 1
7 , -1, 1, 0, 7, 0
7 , -1, 4, 0, 7, 0
7.5 , -1, 1, 0, 7.5, 0
8 , -1, 4, 0, 8, 0
8.5 , -1, 1, 0, 8.5, 0
9 , -1, 4, 0, 9, 0
9.5 , -1, 1, 0, 9.5, 0
10 , -1, 4, 0, 10, 0
10.5 , -1, 1, 0, 10.5, 0
11 , -1, 4, 0, 11, 0
11 , -1, 4, 0, 11, 0
11.5 , -1, 1, 0, 11.5, 0
12 , -1, 4, 0, 12, 0
12.5 , -1, 1, 0, 12.5, 0
13 , -1, 4, 0, 13, 0
13.5 , -1, 1, 0, 13.5, 0
14 , -1, 4, 0, 14, 0
14.5 , -1, 1, 0, 14.5, 0
15 , -1, 4, 0, 15, 0
15.5 , -1, 1, 0, 15.5, 0
16 , -1, 4, 0, 16, 0
16.5 , -1, 1, 0, 16.5, 0
17 , -1, 4, 0, 17, 0
17.5 , -1, 4, 0, 17.5, 0
17.5 , 5, 6, 0, 17.5, 0
18 , -1, 1, 0, 18, 0
18 , -1, 1, 0, 18, 0
18 , -1, 4, 0, 18, 0
18.5 , -1, 1, 0, 18.5, 0
18.5 , -1, 4, 0, 18.5, 0
18.5 , -1, 1, 0, 18.5, 0
19 , -1, 1, 0, 19, 0
19.5 , -1, 1, 0, 19.5, 0
20.5 , -1, 1, 0, 20.5, 0
21.5 , -1, 1, 0, 21.5, 0
22.5 , -1, 1, 0, 22.5, 0
23.5 , -1, 1, 0, 23.5, 0
24.5 , -1, 1, 0, 24.5, 0
25.5 , -1, 1, 0, 25.5, 0
26.5 , -1, 1, 0, 26.5, 0
27.5 , -1, 1, 0, 27.5, 0
28.5 , -1, 1, 0, 28.5, 0
29.5 , -1, 1, 0, 29.5, 0
30.5 , -1, 1, 0, 30.5, 0
31.5 , -1, 2, 1, 31.5, 0
33.5 , -1, 2, 2, 33.5, 0
33.5 , 3, 2, 1, 33.5, 0
35 , 3, 2, 2, 35, 0
35.3125 , -1, 1, 0, 35.3125, 0
35.4375 , -1, 1, 0, 35.4375, 0
35.4375 , -1, 1, 0, 35.4375, 0
35.5625 , -1, 1, 0, 35.5625, 0
